lang,topic,question,"answer"
fr,Renovellement de permis,Renouvellement,"Renouvelez voutre permis S22 au RRO, avant son expiration. Quelques RRO ont des ligne distinctes pour les renouvelments .Le permis S24 est valide pour 2-4 ans. Postuler une semaine avant l'expiration de votre permis. SCRA peut revoir votre statut de réfugié en RSA selon la situation dans votre pays.Conseil: Veuillez apporter les originaux lors du renouvellement de votre permis."
fr,Renovellement de permis,Amendes,"Une amende vous sera chargée si vous ne renouvelez pas votre permis avant son expiration. Le payment de l'emende signifie que vous etes coupables du non - renouvellement pontuel et conduit a un cas criminel sur vous. Contactez un avocat si vous avez une raison valable pour ne pas renouveller votre permis. Un officier de la RRO vous donne l' amende, pas plus de R1000 et vous indique où la payer. Renouvellez au RRO où vous avez faits votre demande. Conseil: Les permis ne sont pas renouvelés automatiquement."
fr,Renovellement de permis,Perte de permis,"Permis perdu? Faites une declaration / un affidavit à la police. Présentez l' affidavit avec la copie de votre permis, si possible a RRO. Conseil: Remplacer les permis perdus c'est difficil. Faites des copies certifiées de vos permis et remettez- les à votre famille ou gardez- les bien.Retenez votre numero de permis et votre numero du dossier du dossier."
fr,Renovellement de permis,Résidence,"Les réfugiés reconnues peuvent faire la demande pour la residence permanente.vous devez avoir le statut de refugié pour au moins 5 ans. Consultez l' Acte de 2002 d' immigration pour en savoir plus des conditions pour la demande de la résidence permanente. C' est important d' avoir un certificat de la SCRA qui dit que vous serez à jamais un réfugié."
fr,Renovellement de permis,Demande,"Le titulaire d' un permis S24 de plus de 5 ans, peut avoir la residence permanente. Completez le formulaire de SCRA pour confirmer que vous êtes à jamais un réfugié. Vous pouvez contacter un avocat, ou LHR pour l'assistance. Ceci peut prendre environ un an. Présentez le certificat de SCRA et les autres documents nécessaires au DHA (pas RRO). Conseil: Les refugiés ne doivent pas payer pour ce service."
fr,Travail,Travail,"Les demandeurs d'asyle et les réfugié sont permis de travailler avec leurs permis valides et n' ont pas besoin d' un autre visa quelconque pour travailler."
fr,Travail,"Travail lindépendant","Enregistrer votre business à la CIPC. Informez-vous s'il faut une licence delivré par la municiplaité pour un peu d'ragent.vous aurez besoin d'un copie de votre permis et les autres documents exigés tels que le certificat d'inspection sur la Santé et Securité. Ne corrompez pas un officier lorsque votre business répond à toutes les conditions. Vous aurez votre licence et commencer ez le business. Un officier de Santé & Securité/H&S pourra inspecter l' emplacement de votre business. Veuillez respecter les lois de H&S. Renouvellez votre permis quand ça expire."
fr,Travail,Lois des provinces,"Informez-vous sur la loi provinciale de RSA de votre businsees anticipé. KZN/Limp/Mpum/NW: un permis/ un certificat / licence de la H&S. Limp: Un permis de 1 ans renouvelable 1 mois avant son expiration si non, vous risquez l'emrisonement ou amendes. KZN: ne pas modifier sans permission l' immeuble où est basé votre commerce. Mpum: les colpolteurs/vendeurs/venduers de rue n' ont pas besoin de licence mais doive avoir l'evidence de leur appartement du post de vente. Gauteng: Contactez LHR pour une copie des lois.Voir Services Utiles."
fr,Travail,Reglementations de la Cité,"Par-Lois/By-laws: c'est la lois de la municipalité, qui y controle les affaires & services. Il faut s'informer de ces lois avant d'y faire le business.Conseil: Il est important de respecter ces lois si non, vous risquez l'emprisonement ou la perte de vos biens.Pour plus d' info sur ces lois, voir: www.capetown.gov.za www.tshwane.gov.za, www.durban.gov.za,www.nelsonmandelabay.gov.za ou www.joburg.org.za"
fr,Travail,Sécurité/Enseignant,"Les officiers de sécurité ou gardiens des voitures doivent se faire enregistrer avec PSIRA.Les citoyens de la RSA, résidents peprmanents et réfugiés exemption peuvent travailler comme guardes.Les enseignants des écoles publiques devront évaluer leurs diplômes avec SAQA et vous faire enrigistrer avec le Conseil sud-africain des Educateurs /SACE.Cette évaluation ne vous guarrantit pas du travail.Visitez: www.sace.org"
fr,Travail,Infirmier,"Les réfugiés ayant des diplômes d' infirmier étrangers devront être enregistrés à la SANC.Visitez: www.co.za Pour la list de tous documents à présenter."
fr,Travail,Docteur,"Les refugés - idocterus en medecine peuvent demander l'enregistrement en RSA.Le DOH emploi les docteurs étrangers ayant des bonnes qualifications & expérience dals les hôpitaux ou gouvernements.Enregistrez-vous au FWMP sur 0123120467. Vous avez besoin de l'offre d'emploi du gouvernement, hopital ou depaartement de la santé. Faites la demande de la reconnaissance formelle pour vous faire enregistrer avec le Conseil de Profession Médicale en RSA sur 0123389350."
fr,Travail,Discrimination,"Il y a des lois qui vous protègent en milieu de tavail contre la discrimination et le traitement injuste au travail. Votre employeur ne peut pas vous discriminer par ce que vous etes immigrant.Les lois vous y protègent ainsi que vons heures minimum de travail, jours de congé , salaire et voies de votre renvoi du travail."
fr,Travail,Réclamations de l' UIF/CF,"Vous pouvez reclamer votre frais de chomage/UIF si votre travail est terminé ou si vous avez un nouveau-né.Vous besoin d'un ID de 13 chiffres pour faire cela. Si un accident vous arrive au travail et que vous êtes touchés ou infectés ou devenez invalide, le Fond de Compensation vous payera quelques frais. En cas de décès vos dépendants recevront de l' argent.Le fond de compensation payera les frais medicaux."
fr,Santé,Vos droits,"Vous avez droit aux soins médicaux de base et soins de reproduction en RSA. On peut pas vous refuser les soins medicaux urgents. Les travailleurs des hôpitaux sont parfois sous informés sur les droits des refugiés et demandeurs d'asyle ayant un permis valide.Veuillez contacter LHR si vous avez des problemes d' avoir accès aux soins médicaux."
fr,Santé,Coûts de santés,"Les refugiés et demandeurs d'asyle payent autant d'argent que les citoyens de la RSA. Vos frais sont déterminés par un test. Si vous n' avez pas de bon document vous payez chèr. Apportez votre: ID, permis, carte de RDV, fiche de paye, preuve de domicile. Malade? Allez dans une clinique proche de vous ou à l' hôpital si votre cas est urgent."
fr,Santé,Clinique/Hopital,"Aux cliniques les medicaments sont souvent gratuits. Faites un rendez-vous au clinic qui vous est proche, sauf si c'est l'urgence. Apportez votre permis Section 22/24. Si en attente du permis; contactez une ONG pour une lettre (voir 'Services Utiles'. Vous avez besoins d'une lettre pour aller a l'hopital sauf si c'est l'urgence. Sii vous ne pouvez payer les frais des hopitaux publiques, faites un affidavit à la police pour expliquer ou contactez une ONG. N'allez pas au Docteurs privé si vous ne pouvez pas payer."
fr,Santé,Assistance Trauma,"Traumatisés suites à certains évènements peut conduire au SSPT/PTSD: Singes de PTSD: problemes de dprmir, concentration, cauchemar et autres.Partager votre histoire si vous avez PTSD. Lors des conseils sociaux, vous parlerez de vos experiences, état emotionelle. Visitez: Le Centre de Trauma à JHB ou le Centre de Trauma pour les Rescapés de la Violence ou Torture au Cape Town. Il y a en RSA des autres cliniques de trauma. Voir la 'Liste de Contact' pour plus d' info."
fr,Santé,VIH/Sida,"Le VIH peut vivre caché pendant environ 10 ans. Il faut connaitre votre statut et prendre le traitement pontuellement pour vontre santé. VIH affaiblit la force de votre corps pour lutter contre les infections comme la pneumonie. Il n y a pas de remède pour le VIH.L' infection se transmet par le sang, comme lors de l'injection sans sterilisation du matériel ou avour les relations sexuelles sans protection. Si vous êtes VIH+ enceintes , votre enfant peut être infécté dans le ventre, après sa naissance et par le lait maternel. Conseil: Vous n' êtes pas infectés par le VIH par un contact ordinnaire comme marcher ensemble, baiser ou le partage de l'espace."
