locale,topic,question,answer
so,codsi dalkugal,codsiyada khadka intarneedka ,220
so,codsi dalkugal,xageed ka codsatay,254
so,codsi dalkugal,goormaa lacodsadaa ,250
so,codsi dalkugal,cadaymaha lagaarabo ,154
so,codsi dalkugal,habusocodka codsigaaga ,161
so,codsi dalkugal,gunada aad bixisay,153
so,codsi dalkugal,xiliga aad soo qadanaysay,216
sw,Omba viza,Maombi ya Viza kieletorniki,209
sw,Omba viza,Wapi kuomba,
sw,Omba viza,Wakati wa kuomba,188
sw,Omba viza,Hati zinohitajiwa,179
sw,Omba visa,Muda wa  machakato,138
sw,Omba viza,Kulipa ada,236
sw,Omba viza,Mukusanyiko,225
so,xidhitaanka,waxaad samayn lahayd hadii lagu xidho,440
so,xidhitaanka,xaalada,577
so,xidhitaanka,masaafurinta,390
sw,Kukamatwa,Unachofanaya ukikamatwa,285
sw,Kukamatwa,Hali,339
sw,Kukamatwa,Kituo cha kufukuzwa,326
so,dalkugalka badan,shaqo ka fadhiisi,153
so,dalkugalka badan,dawada nolosha,137
so,dalkugalka badan,heshiiska,74
sw,Aina zaidi za viza,Mtu mstaafu,111
sw,Aina zaidi za viza,Huduma ya matibabu,142
sw,Aina zaidi za viza,Mkataba,126
so,dalkugalka shirkadaha,wada shaqaynta,174
so,dalkugalka shirkadaha,badalka shaqo,121
so,dalkugalka shirkadaha,xirfadaha muhiimka ah,141
so,dalkugalka shirkadaha,ganacsiga cusub,240
so,dalkugalka shirkadaha,booqashada,112
so,dalkugalka shirkadaha,barashada,165
so,dalkugalka shirkadaha,isbadbadalka,153
sw,Viza za Muda mfupi,Ushirika,141
sw,Viza za Muda mfupi,Uhamisho wa kazi,121
sw,Viza za Muda mfupi,Ujuzi wa kitaalamu,152
sw,Viza za Muda mfupi,Biashara mpya,137
sw,Viza za Muda mfupi,Mgeni,173
sw,Viza za Muda mfupi,Elimu,145
sw,Viza za Muda mfupi,Mabadilisho,135
so,adeeg muhiim ah,xafiisyada dawlada,
so,adeeg muhiim ah,hayadaha an dawliga ahayn,
so,adeeg muhiim ah,sharciyada,
so,adeeg muhiim ah,baahida asaasiga ah,
so,adeeg muhiim ah,talooyinka,
so,adeeg muhiim ah,cuntdada iyo hoogyga,
so,adeeg muhiim ah,cafimaadka dadka gud,
sw,Huduma muhimu,Offisi ya Gov,
sw,Hudama muhimu,NGOs,
sw,Huduma muhimu,Kisheria,
sw,Huduma muhimu,Mahitaji ya msingi,
sw,Huduma muhimu,Ushauri nasaha,
sw,Huduma muhimu,Makao/Chakula,
sw,Huduma muhimu,Afya ya Umma,
so,arimah dalkugalka,dalkugal badalida,160
so,arimah dalkugalka,hagaajinta khaladadka,161
sw,Masula kuhusu viza,Uhamisho wa viza,127
sw,Masula kuhusu viza,Kurekibisha makosa,120
so,xuquuqdada,shaqada,214
so,xuquuqdada,,165
so,xuquuqdada,waxbarashada,150
so,xuquuqdada,arimaha guriga iyo galmada,357
so,xuquuqdada,xadgudubka,408
sw,Haki zako,Kazi,149
sw,Haki zako,Afya,116
sw,Haki zako,Elimu,141
sw,Haki zako,LGBTI,325
sw,Haki zako,Unyanyasaji,448
