locale,topic,question,answer
so,waxbarashada,isgoolka,395
so,waxbarashada,codsiyda,771
so,waxbarashada,talooyinka,
so,waxbarashada,gunada isgoolka,646
so,waxbarashada,wax yaalaha laysafga bahan yahay,213
so,waxbarashada,jaamacada,290
so,waxbarashada,arima talooyinka,154
sw,Elimu,Shule,434
sw,Elimu,Maombi,605
sw,Elimu,Mwanga,
sw,Elimu,Ada ya shule,564
sw,Elimu,Mahitaji maalum,209
sw,Elimu,Chuo kikuu,265
sw,Elimu,Mwanga kwa Chuo Kikuu,146
so,cafimaadka,qiimaha cafimaadka,364
so,cafimaadka,husbitalada iyo caawiyasha,451
so,cafimaadka,ka caawinta jahwaeerka,377
so,cafimaadka,aydhiska,0
so,cafimaadka,badhista aydhiska aydhiska,324
so,cafimaadka,arimaha khuseeya hooyada uurka leh,193
so,cafimaadka, habka dawo qadashada xanuunka dilaaga ah,294
so,cafimaadka,xadgudub ka galmada,309
sw,Afya,Gharama ya afya,325
sw,Afya,Kliniki/Hospitali,317
sw,Afya,Msaada wa Kiwewe,807
sw,Afya,VVU/Ukimwi,328
sw,Afya,Kupimwa VVU,361
sw,Afya,PMTCT,243
sw,Afya,Matibabu ya ARV,316
sw,Afya,Uyanyasaji wa kijinsia,332
so,arimhaha guriga iyo galmada,amaanka  jinsiyada,208
so,arimhaha guriga iyo galmada,cawinta jinsiyada,139
so,arimhaha guriga iyo galmada,caawin khusaysa xadgudub,124
so,arimhaha guriga iyo galmada,xuquuqda xadgubka,324
so,arimhaha guriga iyo galmada,akhbaarta xadgubka,323
so,arimhaha guriga iyo galmada,difaaca,331
so,arimhaha guriga iyo galmada,diidmada arimaha warqada iyo iwm,215
so,,ganacsiga,346
sw,LGBTI&VAWC,Usalama wa LGBTI,258
sw,LGBTI&VAWC,Usaidizi wa LGBTI,167
sw,LGBTI&VAWC,Msaada ya walionyanyaswa,202
sw,LGBTI&VAWC,Haki za wathirika wa  unyanyasaji,329
sw,LGBTI&VAWC,Reporti unyanyasaji,335
sw,LGBTI&VAWC,Ulinzi,345
sw,LGBTI&VAWC,Umasi P.O.,230
sw,,Trafficking,402
so,daganansho rasmiya,codsi toosa,185
so,daganansho rasmiya,xageed ka codsatay,180
so,daganansho rasmiya,maxaad wax ku codsatay,171
so,daganansho rasmiya,wkatiga shaqada,163
so,daganansho rasmiya,bixinta gunada,194
so,daganansho rasmiya,diwaanka,223
so,daganansho rasmiya,hubinta dalkugalka,199
sw,Vibali vya kukaa muda mrefu,Maombi kwenye mtandao,161
sw,Vibali vya kukaa muda mrefu,Kuomba wapi,179
sw,Makazi ya kudumuVibali vya kukaa muda mrefu,Hati zinazohitajiwa,164
sw,Vibali vya kukaa muda mrefu,Muda wa mchakato,131
sw,Vibali vya kukaa muda mrefu,Kulipa ada,191
sw,Vibali vya kukaa muda mrefu,Mkusanyiko,193
sw,Vibali vya kukaa muda mrefu,Ushahidi wa viza,0
so,amaanka iyo ciyaalka,meesha nabad galyada,415
so,amaanka iyo ciyaalka,jinsi nacaybka,532
sw,Usalama/Watoto,Mahali pa usalama,345
sw,Usalama/Watoto,Xenephobia,460
so,guri laaan ,khatarta,391
so,guri laaan ,diwaangalinta dhalmada,447
so,guri laaan ,dhalashada,482
so,guri laaan ,waano shariga khusaysa,112
sw,Utaifa,Hatari,430
sw,Utaifa,Usajili wa kuzaliwa,386
sw,Utaifa,Uraia,
sw,Utaifa,Ushauri wa kisheria,130
so,shaqada,ganacsigaga,177
so,shaqada,amaanka iyo barashada,367
so,shaqada,kalkaliyasha cafimaadka,505
so,shaqada,dhakhtarka,444
so,shaqada,midab takoorka,335
so,shaqada,hooyada uurka ley ka difaacida cudurka dilaaga ah,144
sw,Kazi,Mwana Biashara,177
sw,Kazi,Usalama/Mwalimu,303
sw,Kazi,Muguuzi,231
sw,Kazi,Daktari,283
sw,Kazi,Ubaguzi,192
sw,Kazi,UIF/CF madai,293
