locale,topic,question,answer
fr,Resultats sur la demande,Sans succes,"Si votre demande est rejeee par un officier de RRO, voust n'etes pas refugie reconnu.Vous avez souvent 30 jours pour donner l'avis d'appel. Atrement, vous devez documenter votre sejour en RSA ou quitter. Les raisons de votre rejet affectent votre appel. Si votre demande etait fraudulente ou abusante, le SCRA devra la revoir. Vou avez 14 jours pour faire une declaration ecrite de votre desaccord avec RRO qui vous a ainsi rejete.Contactez LHR pour l'assistance."
fr,Resultats sur la demande,Appel,"Les avocats prives peuvent vous aider avec votre demande, appel ou et les revisions des decisions prises par SCRA. Vous pouvez avoir besoin de payer ces services. Ou bien contacter LHR, ils peuvent vous aider ou vous referrer. La Societe Juridique Sud-Africaine a une liste des specialistes en droits des refugies - Voir 'Services Utiles'.Conseil: Demandez toujours d'abord les frais de l'avocat avant d'accepter ses services.  Rassurez-vous de l'authenticite des qualifications de l'avocat.Pour verifier, veuillez contacterer La Societe Juridique Sud-Africaine sur: 0123668800.   "
so,najiidad codsiga,guul darada,"Hadii RRO ay didhan odsi gaaga, malagu aqonsaan karo qaxoti aahan. Waxad ledahe 30 malimold, hadii an ahen waad in ad kabaxdaa wadanka SA. Sababta sharciga kuu diday. Hadii qodsigaga been bur ahaa Standing Committe of Refugee Affairs wey firinaya. Waxaad ledehe 14 malimo in ad didmaha. LHR weydi."
so,najiidad codsiga,racfaanka,Sharciyaqanada gaarka ha waxay ka  cawin karaan codsigaga sharci iyo racfaanka iyo wax kle. Hadaba waxaan u malaynyaa in ad adigu bixinaysid ama wac sharci yaqanada .Ayada xuquuqda adamaha waxa  gal ah in ay ku caawin karan talo waydii. Hubi sharciyaqaanka ad rabtoin uu tayo leeyahay si ad u hubiso wac 012-366-8800
sw,Matokeo ya ombi lako,Aliyeshindwa,"Kama RRO anakataa ombi lako,hautambuliki kama mkimbizi uko na siku 30 kutoa taarifa ya rufaa,ama ufanye namna nyingine  ya kuishi au kuondoka SA. Sababu uhathiri rufaa.  Kama ombi lako ulaghai au unyayasaji, Kamati ya Kudumu Mambo ya Wakimbizi watayikagua. Unasiku 14 kupatiana kauli ya kutokubaliana na uamzi katika ofisi ya RRO ilyokupa barua ya kukataliwa.Omba LHR usaidizi. "
sw,Matokeo ya ombi lako,Rufaa,"Wakili binafsi wanawezakusaidia kuombi  hifadhi,rufaa au mapitio ya SCRA . Utalipa ada zake. Au pigia LHR- wanaweza kusaidia au kukupeleka mahali pengine . Chama cha wanasheria wa Afrika ya kusini  wana wakili wenye  uzoefu wa sheria za wakimbizi - Ona 'Huduma muhimu'. Mwanga : Hakikisha wakili ana vyeti maalumu. Kuhakikisha, pigia Chama cha wanasheria  wa Afrika ya kusini kwenye simu 012-366-8800."
fr,Arrestation,Que faire,"Il y a plusieurs moyens de vous liberer. C' est dans votre droit, Si vous etes arretes et possedes un valide permis, demander a une personne de sur de donner la copie de votre valide permis au DHA.Vous avez droit a un avocat lors d' une arrestation. Au tribunale vous pouvez consulter   un avocat gratuitement. "
fr,Arrestation,Conditions,"Verifier les documents au DHA prend 48 hrs. Ayez toujours votre permis, c'est votre devoir. Vous avez des appels gratuits a faire a votre ami pour la copie de votre permis.Vous pouvez declarer par ecrit au DHA le refus de votre detention/deportation.Votre detention est normalement de 30 jours sauf s'il y a une prolongation de la court. So la court prend une decision, vous en etes informes par ecrit, si vous en etes pas d'accord vous pouvez donner des raisons."
fr,Arrestation,Deportation," Si on prend au Centre de Deportation, vous pouvez contactez un avocat. LHR visite le centre chaque semaine. Demandez a votre famille de leur informer que vous desirez un avocat. Si vous etes illegals en RSA, vous serez detenus, puis  deportes dans votre pays.Contactez LHR si vos conditions de detention ne sont pas bonnes ou sont en violation de votre dignite. "
so,xidhtanka,waxa la sameeyo,Waxaa jirta wadooyin oo laguu xidhi karo. Adiga ka yimid sharcigaga in la wahti ayay qaadan. Hada la sharci yaqaankaga ama sxbkaga ama qoyska si ay kugu kobiga. Waxa saxda ah xaq u leedahay in ad hesho matala hadii lagu xidho talo lagu geeyo maxkamada waxaad codsan kartaa caawin si uu kugudoodo lcag la aan.
so,xidhtanka,xaalada,"Waxada waxay xaqiijin karaan 48 saac in aad wadato sharcigaag.  Wajibkaaga hada haday wac sxbkaga ama qoyskaga waxanad ku diidi karta sharciyada in lagugu hayo, xabsiga ama lagu maxkamadu waxay  mudad lagugu haynayo xabsiga waxaanad u cadaynka karta sabta adan u rabin."
so,xidhtanka,masaafurinta,"Hadii lagu geeyo xarunta masaafurinta, waxaad soo waci kartaa talo muhim ah. Xuquuqda adaman soo isbuuc kasta ha. Hubiyan xalada iyo wax ku caawiyo hadii ayna kuu ahayn, wado sharci ood ku sii joogto waii diwaan ka  kuna noqo gurigaga. Wac hadii meesha masaafurinta  amaan ahayan ama  ka jiro ama sharaftada."
sw,Kufungwa,Cha kufanya,"Kuna njia za kisheria zakufunguliwa. Inaweza chukua muda. Omba  wakili.Ni haki yako. Kama umefungwa na kibali halali,ambia  rafiki au familia kupatia DHA nakala ya kibali chako. Kumbuka. Una haki ya kuwa na  mwanasherai kama unafungwa . Tip: Ukienda mahakamani, uliza 'mwanasheria wa bure'. Unaweza kuongea na wakili bure."
sw,Kufungwa,Hali,"Afisa wa DHA analizimishwa kuthibitisha hati yako ya msaa 48. Niwajibu wako ya kutembea na  kibali. Una haki ya kupigia rafiki yako akupe nakala ya kabili.Unaweza kutoa kauli kwa DHA ya kwamba wewe umekataa kizuizi au kufukuzwa. Unaweza tu kuwa kizuizini kwa siku 30 isipokuwa mahakama inaongeza muda. Wakati mahakama hufanya uamuzi wake , lazima upate taarifa  hii kwa maandishi, unaweza kupana sababu kwa nini unakataa"
sw,Kufungwa,Kufukuzwa,"Ukipelekwa kituo cha kufukuzwa,Pigia wakili kwa mashauri ya kisheria. Wanasheria wa Haki za Binadamu hutembelea centa kila wiki. Uliza familia kuwaarifu LHR hali yako na kubambia kama  unahitaji msaada. Kama hakuna sababu na hati sahihi ya kukaa SA, utawekwa kwenye  kituo cha kufukuzwa na utarudishwa nyumbani. Wasiliana na Wanasheria wa Haki za Binadamu kama hali yako ya kizuizini si salama au inakiuka hadhi yako."
fr,Les enfants,Non - accompagnes,Un enfant demandeur d' asile est non accompagne lorsque la personne qui lui prend en charge ne se presente pas.Les enfants separes avec leurs parents avant ou pendant qu' ils quittaient leurs pays sont aussi consideres comme non- accompagnes.
fr,Les enfants,Documentation,"Les enfants demandeurs d' asile qui sont non - accompagnes doivent etre presentes au  DSD, un travailleur social s' occupera de lui. L'assistant social travaille avec DHA pour aider l'enfant avec la postulation de l'asyle au RRO, le travaililleur social fait l'investigation du cas de l'enfant et fait un rapport.Contactez un avocat si l' enfant n' a pas debonne raisons de demande d' asile. Les enfants doivent etre documentes, afin d'eviter qu'ils devennent apatrides. "
so,caruurta,aan wehelinin,ciyaalka markan cidi la socon waxa masuuliyada qadanya waxda ilaalinta ciyaalka ama ciyaalka gaarka ka ah waalidka ama kuwa sida gaarka ah uga soo caray wadankoodi ama goobta dagaaka waa lamid
so,caruurta,diwaanka,"Ima codsanaya magan galyada iyaga oon la socon walid, waxay la xidhiidhi arimah bulsha iyo kadib waxaa qiimayn kiiska adeega.Waaxda sharciyada ka caawinaysaa codsiga, sharciga. Qabilada waaxda adeega bulshad waa in ay baadho ilmaha. Hadii ilmuhu codsan wa in la wargaliyo waana muhiim ilmu haysto."
sw,Watoto,Wasio na wazazi,Mtoto mkimbizi bila kuambatana na mzazi  kama hamna mtu mkubwa ambae ana majukumu ya kumlea na  kumwongoza yule mtoto. Watoto waliopoteana na wazazi kabla au wakati wa wapambano  wanaitwa pia 'Watoto wasio na wazazi'.
sw,Watoto,Nyaraka,"Mtoto akiomba hifadhi bila mzazi/mlezi lazima apelekwe kwenye Idara ya Maendelo ya Kajamii, penye mfanyi kazi wa jamii atashughulikia kesi yake. Mfanyi kazi wa jamii ataunga mkono na DHA kumsaidia mtoto kuomba hadhi RRO.  Atachunguza tena kesi ya mtoto & apeane ripoti kama mtoto hafai  hifadhi. La muhimu: Watoto lazima wapewe hati bila hivyo watakosa utaifa"
fr,Le processus,Eligibilite,"Completez le formulaire d' eligibilite. Repondez honnetement. Vous passerez une interview plus tard pouir donner plus de detail sur votre hisoire. Apportez  tous vos documents qui prouvent votre identite et vos origines. On fera les copies et vouremetra vos orinaux. Apres la prise des empreintes digitales, les numeros de votre case et dossier vous sera remis, gardez-les jalousement. "
fr,Le processus,Libres d'appliquer,"Ne payez rien a qu que ce soit, ni aux agents de la securite, ni aux officiels. Le prcessus est gratuit. Luttez contre la corruption. Conseil: Si un officier du DHA vous demande une corruption, retenez son nom, ses characteristiques physiques, ainsi que la date et le temps de l' incident. Conseil: Pas de raison de payer les frais. Rapportez la corruption au suivant numero gratuit de DHA: 0800601190 .Vous serez anonyme. "
fr,Le processus,Permis,"Vous aurez un permis de la Section 22 (permis du demandeur d'asyle) lorque vous posez la demande; c'est une preuve que vous avvez pose unde demande.Ce permis ne vous donne pas encore le statut de refugie. Ce document vous permet de travailler. Verifiez ou demandez les conditions de votre permis; il est souvent valide de 1 ou 3 mois. Veuillez en faire une copie, toujours gardez ce copie avec vous et renouvellez-le avant que ca n' expire. Un decision peut prendre des mois eo des annees. Conseil: si vous ne renouvelez pas votrepermis section 22 avant son expiration, vous risquerez une arrestation/detention/amendes. "
