lang,topic,question,answer
fr,"Manger/Dormir/Banque
",Logement,Certaines ONGs les hebergent.Voyez 'Services utiles/ou journaux'.Les agences immobileres vous exigent des frais de loyer a payer au debut de chaque mois. On peut vous demander de payer les frais de caution d'un mois pour le loyer. Il faut signer le contract pour loyer.
fr,Manger/Dormir/Banque,Explusions,"La loi protege les refugies et demadeiurs d'asuyle de l'expulsion illegale.Le bailleur devra avoir un ordre du tribunal avant de vous expulser; sans cela, le bailleur ne peut pas vous forcer l'eviction.Contactez le Tribunal de Location des Maisons sur 011 630 5035/0800046873.En cas de dispute entre locataire et bailleur ou au cas du mauvais tratement."
fr,Manger/Dormir/Banque,Problemes bancairs,"Les banques ignorent parfois les droits des refuges et demandeurs d'asyle yant un permis valide.Ils peuvent refuser de vous ouvrir le compte bancaire. FNB, Standard Bank et Nedbank acceptent les permis des demandeurs d'asyle et refugies.Renseignez-vous aupres aux autres  immigrants sur les banques qui acceptent les refugies et demandeurs d'asyle."
fr,Manger/Dormir/Banque,Copmte bancair,"Age de 16 ans ou plus avec un valide pemis.Apportez les documents exiges come preuve do votre residence, permis et l'argent pour ouvrir le compte etc.Vous pouvez avoir tous les documents; la banque aura toujours a decider s' il faudra vous ouvrir un compte ou non. Un avocat peut vous assister a ouvrir un compte."
fr,Manger/Dormir/Banque,Autres options,Les epargnes et cooperatioves de credit souvent ouvrent des comptes bancaires pour les refugesi.Ils operent comme les syndicats de credit.Ils n' operent pas comme des banques ordinaires. 
so,cuntada/seexadka/bangiyad,adeega baahida degdega ah,hayadaha  qaar waxay kaa caawinayaan in aad hesho waxoogaa. Sida guri la aanta  waxaad aragtaa waxa muhiimka.  Waaxad kala socon kartaa  khuseeya daryeelka jaraa idada ama xarumaha. Wakiilka ka ah bilowga bil kasta waxa laga yaaba in lagu way diiyo lacagta inta adan ka bixin guriga ama adan tagin waxaana muhiim.
so,cuntada/seexadka/bangiyad,guri ka saarid,"Sharcigu waxuu difaacaya qaxootiga iyo  magangalyo. Sharci daro ah lagaga saaro guryaha  ninka guriga, an maxkamad inta uuna huriga ka saarin  in xoog uga saaro ama uu u hanjabo haday taas dhacdo  waxada u xilsaaran guryaha 011-630-5035 ama 0800-046-873 hadad  dareento hanjabaad."
so,cuntada/seexadka/bangiyad,dhib xaga bangiyada ah,Hadii ay kugu adagtahay in aad furati akownti bangi SA. Ogato xaq qaxootiga  iyo magan galyo doonka marka shaqaynayo hadii ay ku diidaa.Furo akownti  waxaad ogaato in ay istimaali karaan warqada sharciga ama aydhiga waliba bangiyada FNB IYO STARDARD baangi waydii meesha kugu dhaw eed ka furan karto
so,cuntada/seexadka/bangiyad,akowntigaga iyo iwm,waan in aad noqoto 16 sano iyo kasii wayn sharci shaqaynaya waan in ad haysto waa in ad gacanta ku wadato aqoonsiga qaxootinimo iyo cadayn meesha aad dagantahay kirada aad bixiso warqada ad wax ku qadato mama dakhligaga  akown furashdada waxaad u martaa wado sharciya waxay kaa cawin in aad furato durba
so,cuntada/seexadka/bangiyad,qaybo kale,kayd sashada iyo amahaha waa kuwa lagala shaqeeyo qaxootiga  ama loo furo sida dadka jamaca ah kuwaas oo si wada jira wax ugu rita mel kuwaas maha ku caadiga ah
