locale,topic,question,answer
fr,Quand/Ou faire la demande,Faites la demande a RRO,"Faites la demande a la RRO des que vous arrivez .Si un officier vous questionne avant cela, repondez- le que vous allez poser la demande d' asile. "
fr,Quand/Ou faire la demande,Durban,"Votre  Bureau d'acceuil des refugies (RRO) a Durban est situe sur l' avenue Moore,  No 132, Durban.Numero de Tel: 031-362-1205 / Fax: 031-362-1220."
fr,Quand/Ou faire la demande,Musina,Votre bureau d'acceuil des refugies (RRO) a Musina est situe sur l' avenue Harold No 8  (a cote du bureau postal). Tel:015-534-5300; Fax: 015-534-5332.
fr,Quand/Ou faire la demande,Pretoria,"Votre bureau d'acceuil des refugies (RRO) a Pretoria - Ouest est a Marabastad, croisement entre les avenues E'skia Mphahlele & Struben.Tel: 012-327-3515; fax: 012-327-5782.  "
fr,Quand/Ou faire la demande, Pretoria Ouest,"Votre Bureau d' acceuil des refugies (TIRRO) a Pretoria - Ouest  est sur l' avenue Soulter No 203, Showground Pretoria. Tel: 012-306-0800/012-306-0806; Fax: 086-579-7823."
fr,Quand/Ou faire la demande,Ville de Cape / Cape Town,"RRO du Cape: Rue Voortrekker No 142, Maitland.Tel: 021-514-8414 Fax: 021-514-8403.Pas de nouvelles demandes, seulement le renouvellement des permis existants des refugies."
fr,Le processus,Vos fonctions,"La constitution de la RSA protege les refugies et les demandeurs d'asyle lorsqu'ils respectent la loi et acceptent les devoirs des demandeurs d'asyle. C'et votre devoir de vous presenter a la RRO quand vous arrivez en RSA et veritablement expliquer pourquoi vous voulez l'asyle. C'est votre devoir de respecter la loi; au case contraire, vous serez traduits en justice comme tout autre sud-africain. La paid est votre droit et devoir. Si vous participez aux attaques armees contre votre pays, vous pouvez perdre votre permis et etre pris en prison."
fr,Le processus,Eligibilite,"Completez le formulaire d' eligibilite. Repondez honnetement. Vous passerez une interview plus tard pouir donner plus de detail sur votre hisoire. Apportez  tous vos documents qui prouvent votre identite et vos origines. On fera les copies et vouremetra vos orinaux. Apres la prise des empreintes digitales, les numeros de votre case et dossier vous sera remis, gardez-les jalousement. "
fr,Le processus,Libres d'appliquer,"Ne payez rien a qu que ce soit, ni aux agents de la securite, ni aux officiels. Le prcessus est gratuit. Luttez contre la corruption. Conseil: Si un officier du DHA vous demande une corruption, retenez son nom, ses characteristiques physiques, ainsi que la date et le temps de l' incident. Conseil: Pas de raison de payer les frais. Rapportez la corruption au suivant numero gratuit de DHA: 0800601190 .Vous serez anonyme. "
fr,Le processus,Permis,"Vous aurez un permis de la Section 22 (permis du demandeur d'asyle) lorque vous posez la demande; c'est une preuve que vous avvez pose unde demande.Ce permis ne vous donne pas encore le statut de refugie. Ce document vous permet de travailler. Verifiez ou demandez les conditions de votre permis; il est souvent valide de 1 ou 3 mois. Veuillez en faire une copie, toujours gardez ce copie avec vous et renouvellez-le avant que ca n' expire. Un decision peut prendre des mois eo des annees. Conseil: si vous ne renouvelez pas votrepermis section 22 avant son expiration, vous risquerez une arrestation/detention/amendes. "
fr,Le processus,Intreview,"Un interview est prevu lors de la demande d' asile. Il y aura des questions sur vous et votre pays. Vous avez droit a un avocat, interprete ou un temoins, une declaration ou tout autre evidence pour assister . Votre representation ne peut qu'observer. vous auez une decision ce jour ou plustard. Veuillez cachetez votre permis avant de quiter. Les marries seront interviewer tous, s' ils font la demande ensemble.Declarer votre femme ou enfants vivant dans un autre pays dans votre dossier."
fr,Le processus,Interpretation,"Si vous ne parlez pas assez une langue sud-africaine, vous avez besoin de votre interprete si DHA ne vous en a pas donne un(e).Prenez l'interprete de confience qui traduira excatement ce que vous dites et non l'autre qui fabriquera votre histoire pour vous obtenir le statut. Parlez lentement et soyez coherents, demandez qu'on vous relise votre histoire. Demandez a l' officier d' ecrire toutes les corrections. Signez votre formulaire.Votre avocat, temoin, compatriote ne peut pas interpreter pour vous."
fr,Le processus,Droits gratuits,Certaines universites des cliniques juridiques et des organisation de droit de l'home offrent  des services juridiques gratuits aux refugies et demendeurs d'asyle. Le HCR a des conseillers juridiques specilaises dans la loi des des refugies dans 5 cites sud-africaines. les conseillers jusridiques peuvent vous conseiller sur votre demande de l'asyle ou vous assister si votre demande a ete rejeee. ils ne peuvent que vous conseiller. Ils ne donnent pas le loyer ou logement ou bien la nourriture. Voir les 'Services sociaux pour plus d'info. 
fr,Le processus,A propos des avocats,"Les avocats prives peuvent vous aider avec votre demande, appel ou et les revisions des decisions prises par SCRA. Vous pouvez avoir besoin de payer ces services. Ou bien contacter LHR, ils peuvent vous aider ou vous referrer. La Societe Juridique Sud-Africaine a une liste des specialistes en droits des refugies - Voir 'Services Utiles'.Conseil: Demandez toujours d'abord les frais de l'avocat avant d'accepter ses services.  Rassurez-vous de l'authenticite des qualifications de l'avocat.Pour verifier, veuillez contacterer La Societe Juridique Sud-Africaine sur: 0123668800.   "
fr,Resultats sur la demande,Succes,"Si votre demande est approuvee, on vous donne le permis de la Section 24 (statut des refugies) qui est valide dpour 2 a 4 ans. Vous devez le renouveler avant son expiration au bureau de RRO. Les refugies peuvent postuler un ID des refugies et des documents de voyage. Cele peut prendre du temps, veuillez postuler poru l'ID seuleuement si vous avez l'ID des refugie si non, vous ne pouvez voyaer que sur l'urgence, veuillez contacter le HCR. Conseil: Si vous voyagez dans votre pays d'origine, vous perdre votre statut de  refugie en Afrique du Sud."
fr,Resultats sur la demande,Sans succes,"Si votre demande est rejeee par un officier de RRO, voust n'etes pas refugie reconnu.Vous avez souvent 30 jours pour donner l'avis d'appel. Atrement, vous devez documenter votre sejour en RSA ou quitter. Les raisons de votre rejet affectent votre appel. Si votre demande etait fraudulente ou abusante, le SCRA devra la revoir. Vou avez 14 jours pour faire une declaration ecrite de votre desaccord avec RRO qui vous a ainsi rejete.Contactez LHR pour l'assistance."
fr,Resultats sur la demande,Appel,"Les avocats prives peuvent vous aider avec votre demande, appel ou et les revisions des decisions prises par SCRA. Vous pouvez avoir besoin de payer ces services. Ou bien contacter LHR, ils peuvent vous aider ou vous referrer. La Societe Juridique Sud-Africaine a une liste des specialistes en droits des refugies - Voir 'Services Utiles'.Conseil: Demandez toujours d'abord les frais de l'avocat avant d'accepter ses services.  Rassurez-vous de l'authenticite des qualifications de l'avocat.Pour verifier, veuillez contacterer La Societe Juridique Sud-Africaine sur: 0123668800.   "
fr,Vos droits,Asile,"C'est votre droit: D'avoir votre demade d' asile sans corruption, ne pas etre deporter dans votre pays ou etre persecutes pour avoir fait une entree illegale ou etre present RSA pendant que vous attendez la decision sur votre demande.
 "
fr,Vos droits,Travail,Tout demendeur d'asyle ou refugie ayant un permis valide a le droit de travailler en RSA. Vous obtenir un emploi  ou faire vos propres affaires.Vous n' avez pas besoin d' un extra visa
fr,Vos droits,Sante,Vous avez le droit aux soins medicaux de base en RSA.On ne peut vous refuser les soins medicaux d'urgence.Les agents de l' hopitaux sont parfois sous informes sur les droits des refuges et demandeurs d'asyle avec permis valides. Vous pouvez contacter LHR si vous n' avez pas acces aux soins de sante publics.  
fr,Vos droits,Education,Toute personne a le droit d' ecation de base en RSA.Vous devriez avoir un permis d' etude valide en RSA.Etes-vous en RSA sous un different permis valide? Verifiez si votre permis vous permet d' etudier en RSA.Quleques conditions pourraient etre applicables
fr,Vos droits,Aliment & Logement,"Vous droit sur: l' alimentation, eau et .Les organisations offrent une assistance limiee, par la suite, vous devriez prendre soins de vous memes. Voir 'Sevrices utiles' pour les organisation religieuses qui peuvent assister. Le gov. de la RSA, ONGs & HCR interviennent dans des cas speciaux. Le HCR a un role limite en RSA (sans camps des refugies). L' assistance maigre est apportee aux plus vulnerables personnes (mamans et enfants qui sont en RSA pour moins de 2 mois, homes celibataires avec des beoisns speciaux, les malades & handicapes). L'assistance peut comprendre la nourriture et loyer de base pour 3 mois. La pluspart des communautes des refugies donnent peu d'assistance materiel mais donne le soutien. Vous avez l' acces aux soins de sante public et education."
fr,Vos droits,Eviction,Les lois protegent les immigrants d' un eviction illegale.Le bailleur devra avoir un mandat d' eviction avant d' agir.Seulement le tribunal peut vous expulser.Contacter le Tribunal des Locations des Maisons sur: 0116305035/0800046873 s' il y a une dispute ou vous etes maltraites.
