lang,topic,question,"answer"
so,cusboonaysiinta daganashaha,dib u cusboonaysiin,"Cusboonaysiinta waxda 22 ad ee qaxootiga. Waxada qaabilada gal safka inta ayna kaa dhicin qaxootiga. Gudida dib u sharicyada qaxootiga ayaa ka go aan gari. 24 aad ka waxuu shaqeeya 2 ilaaa 4 sano ka hor inta uuna kaa dhicin tag (SCRA) sharciga ah waa in aad wadato marka aad cusboonaysid."
so,cusboonaysiinta daganashaha,ganaaxa,"Waa lagu ganaaxi hadan cuboonaysiin sharigaga. Lacagtuna waa in aad tahay danbiile. Aan waxayna horseedi kartaa in lagu qoro dabiille hadii ad haystao sabab taas oon in aad sharcigaga wac sharci, yaqanada in kaa caawiyaan qaabilada. Waxy ku waydiin ganax R1000 TALO dagansha maha mid markaasba la cusboonaysiisyo."
so,cusboonaysiinta daganashaha,lumitaanka deganaanshaha,"hadii sharcigu kaa lumo soo qoro cadayn ka socota booliska gubi qoraalka iyo koobigaag hada hayso xafiiska qaabilada qaxootiga talo luminta sharcigaag way adag tahay samee koobiyo badan u kala dhiibo qoyskaga iyo sxbdaa wali kiis lanbarkaga"
so,cusboonaysiinta daganashaha,degaanka,"marka laguu aqoonsado qaxooti kdi ad jogto 5sano waxad xarayn karta daganaasho rasmi ah qaynuunka sharciyad la dhigay 2002 ayaad wax badan ka helaysa codsiga daganaansho rasmi waa waxamuhim u ah helida ogolaansha gudiga sharciyada joogtda taas oo odhanysa waad sii ahaan kartaa"
so,cusboonaysiinta daganashaha,codsiyada,"5sano waxaad siiwadi kartaa dagansho, si aad u dhamaystirto xaqiiji. In aad gadhay codsato sharci la kashataa hayada sharciyaqaanada .. kuu ad hesho guboi waxad sharciyada, aqoonsigaag waxayna ku dukumiintiga ad ka haysato hana bixin waxba si aad u hesho dagansho rasmiya."
so,shaqada,shaqaynta,"kuwa haysta magan galyada way shaqayn karan ilaa inta uu ushaqaynyso warqada magangalyada loogamana baahna dalkugal"
so,shaqada,lahaanshaha ganacasi,"Ganacsigaaga waxda ganacsiyada hel ogolaansh. Waxa laga heli kara hoose bixi iyar oo ah koobiga dagansha haga iyo wax yalo.Sida arimo cafimaad.Amaan kormeer ha samayn laluush gaar ahaan marka loga baahda wax wad heli fasax in aad la socoto shuruucda markasta hubi wakhtiga dgicitaankaga ogolaanshaga."
so,shaqada,xeerka gobolka,"hubso sharciga gobalka aad joogto ama aad rabto in aad ka ganacsato sida darban ama linboobo/buumalanga/waqooy/w/galbeed waxaad u baahan tahay aqoonsi caafimaad xaqiijinta arimaha amaanka sharcigana cusboonaysiin inta uuna dhicin hal bili ka hor hadii klae waxaa suurta gal ah ganaax ama xabsi in aad la kulanto darban ma awoodid in aad badasho guriga ganacsiga fasax la aan gacansiga guriga hortiisa ama wadada uma baahnid liisan lkn waxaad u baahan tahay in aad cadayso in ay tahay goob adeeg gaar ahaan markaad gobalkan khawteen waxaad la xidhiidhi kartaa hayada u dooda sharciyaqaanada xuquuqda adamaha adiga oo wata koobiga sharcigaaga iyo waxaayalaha muhiimka ah"
so,shaqada,xeerka magaalo,"sharciga dawlada hoose waxaa lagu yeedhi karaa sharci xadidaada sida ganacsiga iyo adeega kale sida shaqada goobaha ay adeega ka bixiso waxaa lagu xish meeyaa sharciga dawlada hoose hadad rabto in aad ganacsato TALO muhiim ah si aad u adeecdo dhaman sharcigayada lagaaga baahan yahay hadadn la socon sharciga waxaad lumisay hantidada ama waxaad kasbatay xabsi waxaalaha kugu haboon dhinaca sharciga waxaad la xidhiidhaa www.capetown.gov.za www.tshawane.gov.za www.durban.gov.za www.nelsonmandelabay.gov.za www.joburg.gov.za"
so,shaqada,amaanka iyo macalinka,"amaanka ama ilaalada waa in aad la xidhiidho shirkada gaarka loo leeyahay ee amanka waxaa aad kula shaqayn kara kuwa haysta dhalashada konfur africa ama daganaasho rasmi ah sidoo kale qaxootiga awooda u leh in ay buuxiyaan shuruudaha waxay ku shaqayn karaan sida macalinka hadii aad tahay mid ku shaqayna ya macalinimo dad waynha ah waa in aad hubiso tayadada macalinimo waxada qaabilsa(kaht)saqa) hayadaas ma xaqiijin karto in aad heli shaqo waxaa kale ood iska dawaan galin kartaa (waxada u qabil san k afrika waxbarashada)waxanad boqan karta www.sace.org.za in badan o wara"
so,shaqada,kalkalisada cafimadka,"qaxootiga awooda u leh in ay noqdaan kalkaaliso caafimaad waxay iska dawaan galin karaan(sanc)waxda dawaan galinta kalkaalisooyinka k afika)waxaad ku gudbin kartaa shahaadooyikaga www.sanc.co.za waxaanda u bahan thy in aad gudbisao liiska dhan"
so,shaqada,dhakhtarka,"Daxatirto heystaan sharciga caxotiga SA. Waxaa cafimaadka u ah in ey letyihin wayo-aragnimo. Diwaan isbitalada iyo barnamijada 012-312-0467 hadii ad do neyso shaqa iyo xaruunta cafimadka. Xayeysin u furo FWMP o shaqo iro xayaysin. Isko so roof xaruunta cafimadka SA 012-338-9350."
so,shaqada,midab takoorka,"Wadanka SA waxaad xaq u leedahy in aad hesho difaaca midab ama hanjabaad. Marka aad joogto shaqo cida aad la shaqaynyaso kuma takoori karaan sababtoo ah tahay sharciguna. Sharciguna difaacayaa shaqo mushahar kaaga iyo sababta aad ku wayday."
so,shaqada,helitaanka xuquuqda canshuuraha naftaada,"waxaad sheegan kartaa waxii khuseeya dhawac goobta shaqada ama in ay ilmaha wax kaa soo gaadheen ama aad shaqo laan ad tahay ama xanuun ku hayo shaqada dhexdeeda ama ama aad laxaad beeshay waxaa bixinaya waaxda magdhawga xataa haddii aad dhimato ama aad hdaawacabto waxayna kaa cawinayaan dawada iwm"
so,cafimaadka,xuquuqdada,"Waxaad xaq u leedahay in aad hesho caafimaad ama daryeel SA. Mana diidi kartid degdega ah ama dawada odow xuquuqda aad leedahay. Maganalyo kaas oo haysta sharci shaqaynaya waci kartaa sharciyaqaanada u dooda xuquuda hadii aad dhibaato adeega caafimaadka."
so,cafimaadka,qiimaha cafimadkaagu ku kacayo,"Qaxootiga ama soo galootiga waxay bixiyaan waxoogee guno ah oo laga qaado. Ogaw waxa lagaaga. Waxaad gunada ugu qaalisan waxaa lagaag baahan .Aqoonsigaga meedha aad dagan tahay talo kolka goobta caafimaad ee kugu dhaw(clinic) hadii ayna ku caawin karin, waxay kuu qorayaan ama hadii aad tahay arin degdega toos."
so,cafimaadka,dhakhtarka iyo kiliinigyada,"Caafimaadka waxay kaa caawinaysaa dhinaca waa bilaash. Ka qabso cafimaad ee kuugu dhaw sharcigaga oo shaqaynaya(your valid saction 22 ) fiirso adeega muhiimka kuu ah si aad waxaad u baahan tahay. Caafimaad ee kugu dhaw wax guno ah na ma bixinaysid hel cadayn boolis si ay u goobta gaarka loo leeyahay."
so,cafimaadka,jah wareeerka,"Dhibka iyo jahwareerka, Xadgubka/xanuunka.Dabeeciga ah waxay kuu hor seedi kartaa fikir iyo qas aan cadi ahayn waxaas ka sii daa waxaanad u in aadan helin caawin kugu filan la wadagi hayada ay khusayso arim,aha waxaana jira goobo cafimaad oo ka shaqeeya arintaas sida joobeeg ama kebtown si toosa."
so,cafimaadka,cudurka dilaaga ah ee aydhiska,"xanuunka dilaaga ah e aydhiska hel toban sano/10sano oo dawo ah walib si deg daga ayaa laguu caawin waxayna kuu hor seedi xalad caadi ah tabar yareda aydhiska ayay wax badan ka taraysa iyo la dagaalanka xanuunka infakshinka sida dhiig la aanta hadii aydhis jiro waa xanuun halis ah waxaanad iska ilaalisaa galmo aan lahayn difaac wax la istimalay sida xiirintaanka ama alabta afka leh hadii aydhis ku hayo hadana aad uur leedahay waxaa suurta gal ah in ilmahaagu yesho mrkuu ka soo dago makankkadib dhalshada ama quudinta naaska hdaba ,, talo,, wax dhiba malah hadii ad dhunka to ama aad wax la wadaagto"
so,cafimaadka,baadhitaanka aydhiska,"Ogow xanunka aydhiska waxaad u baahan tahay in la baadho. Diyaar ku yihiin kooxa baadhidu waa bilaash. Mararka waxay qadataa 20 waxuu toos ugu dhacayaa rugta waxay qaadato.Waxaana kawada shaqeeya hayada badan SA habka caafimada xanuunka ama dawaynta waxaad la xidhiidhaa www.tac.org.za kala xidhiidh."
so,cafimaadka,arimaha khuseeya ka difacida hoyada uurka leh aydhiska,"qofta uurka leh hadan aydhiska qabta waxay ka codsan kartaa goobta caafimaadka kiniinka la dhahonerafobin(nervirpine) waxuu ka difaacaya xanuunka dilaga ah iyo infakshinka la xidhiidh www.tac.org.za waaxada dawaynta"
so,cafimaadka,qofka la nool xanuunka dilaga ah iyo qabka u dawada u qaato,"Waxada la dagaalanka xanuunka dilaaga bilaaban markii uu khadar gadho. Marka ama uu hoos maro 350 c inta bada waxay bilaaba taa ama ay gaadhaa 8 ilaa 10 sano inta badan isku mid ma noqdo. Dhakhtarka hel dawo lamana xidhiidho waxa sharcigagu yahay la xidhiidha cida aad tahay e waa in aad hesho daaawayn bilaasha."
so,cafimaadka,xadgudubka galmada,"Hadii lagugu kufsaday toos u aad booliska. Ha qabaysan ama ha galin musqul. Waxay kaa cadaynta dharka waad badalan kartaa in aad war galiso. Hadii hore waxay noqonaysa in ad qadato. Waxaad xaq u leedahay 28 difaacda xanuunka dilaaga ah lkn waa in ay qadato 72. Jacelka 0800121900, cawis 0800012322 AID 0800110605."
so,waxbarashada,xuquudaada,"qof kastaa waxuu xaq u leeyahay waxbarasho k afrika waa in aad haysato sharci shaaynaya ama ogalaansho wax barasho hubina inta uuna kaa dhicin sharcigaga ayaa kuu suurta galin kara wax barasho waxaana surta gal in wax ka baxsan laga bahdo"
so,waxbarashada,isgoolka,"Goob dar yeel ciyaalka malinta waa qab isgool inta u dhaxaysa 1-6 sano dugsiga hoose wxaa gali kara 7-13 dugsi dhexe 13-19.Hadii adan bixin karin waydii ku ka jaban ood bixin kartid waa sharciyo SA.Talo mararka qaar waxaa dhacda in ilmu tago galaas uu marka sawladu iyadu ma ogala in ka badan labo sano u kor dhafo."
so,waxbarashada,codsigaaga,"sida magan galyada ama qaxootiga ciyaalku waxay xaq u leeyihiin wax barashada as aasiga k afrika diwaan gali isgoolka kuugu dhaw hadii adan ingillska adan ku fiicnayn kaxayso sxb ku caawiya si dagdaga u codso isgoolku in uu buuxsamo ayaa laga yaaba haduu kaa buuxsamo wan in aado waaxda wax barashada hadii laguu diido isgoolka waan in ay warqad ku soo siiiyaan taas oo leh saxeexa madaxa xafiiska hadii kle la xidhiidh waxda adeega bulshada dhinaca wax barashada ama sharciyaqaanada u dooda xuquuda adama la xidhiidh"
so,waxbarashada,talooyinka,"waalidku waa in ay diwaan galiyaan ilmaha si saxa xidhiidhkaaga mesha aad tagan tahay boostadada telefoonkaga shahaadiga isgooka kobiga sharcigaga/kiisa warqada talaalka ama tisa cafimaadaka ilaa sedex bilood"
