English Content,Character Count,Traduction en Français,Character Count,English Content,Character Count,Traduction en Français,Character Count,English Content,Character Count,Traduction en Français,Character Count,Answers,Character Count,Traduction en Français,Character Count,Chr Count for SMS,Chr for USSD Screens,,
,,,,Safety/Children,15,Sécurité/Enfant,15,Xenophobia,10,Xénophobie,10,"Xenophobia is an irrational hatred towards foreigners or an unreasonable fear or hatred of the unfamiliar persons. If you are a victim of xenophobic attacks, you must report it to the police. Go to the police station closest to your home. You must explain in detail what happened. The police will open a case. You will get a case number. Keep it safe! If you’ve lost your document, get an affidavit from the police that explains your situation. Go to the RRO for a new permit.",476,"La xénophobie est une haine irrationnelle contre les étrangers ou peur injustifiée envers les étrangers. Victime de xénophobie, veuillez rapporter  l'incident à la police proche de vous. La police ouvrira un dossier et vous donnera le numero du cas pour le garder attentivement. En cas de perte de document, faites un affidavit à la police, expliquez votre situation.Rapporter au bureau du RRO pour votre nouveau permis.",420,476,512,,
,,,,Banking,7,Service Bancaire,16,Opening an account,18,Ouvrir un compte,16,"You must be 16 years or older with a valid passport and visa. You must have proof of residence: a rental contract, telephone/utility bill in your name. You need to prove your income with a payslip or affidavit. It may be difficult to open a bank account in SA. Even if you have the right documents, the bank can decide if they want to give you an account or not. You can also ask a legal counsellor to assist.",409,"Vous devez avoir au moins 16 ans, un passeport valide et le visa, preuve de votre lieu de resisence comme les factures de téléphone/ eau etc qui a vos noms. Vous donnerez la preuve de votre revenue avec la fiche de paie ou une affidavit.Ça peut vous être difficile d' ouvrir un compte en RSA meme avec les documents complets. La banque peut décider pour vous ouvrir ou non un compte.Vous pouvez consulter les conseillers juridiques pour assister.",446,409,445,,
,,,,Temp visas,10,Les visas temporaires,21,New Business,12,Nouvelles affaires,18,Business: When you want to open a business or become part of a business in SA. You will need to invest money first into the business venture. You will need to check what the requirements are.,191,Affaire:Quand vous voulez entreprendre des affaires  ou travailler en partenariat en RSA. Vous d'abord investir un capital du projet d'entreprise.Veuillez vérifier les conditions qui peuvent exigées.,199,191,227,,
,,,,Permanent Residence,19,Résidence permanente,20,Where to apply,14,Où faire la demande,19,"After completing the online form, you need to apply at VFS centre in Durban, Cape Town, Port Elizabeth, Joburg, Pretoria, Rustenburg, Kimberley, Polokwane, Nelspruit, George or Bloemfontein. ",191,"Après avoir completé l' application en ligne, veuiller postuler au centre VFS à Durban,Cape Town,Port Elizabeth, Johannesburg, Prétoria, Rustenburg, Kimberley, Polokwane, Nelspruit,George ou Bloemfontein.",204,191,227,,
,,,,Apply for visa,14,Faire une demande de visa,25,Where to apply,14,Où faire la demande,19,"After completing your online form you will need to apply at a VFS visa facilitation in Durban, Cape Town, Port Elizabeth, Johanneburg, Pretoria, Rustenburg, Kimberley, Polokwane, Nelspruit, George or Bloemfontein. 

",216,"Après avoir completé votre formulaire en ligne,vous devrez faire la demande à VFS visa faclliltation à  à Durban,Cape Town,Port Elizabeth, Johannesburg, Prétoria, Rustenburg, Kimberley, Polokwane, Nelspruit,George ou Bloemfontein.",230,216,252,2 SMSs (161-319 charaters),2 Screens (181-360 charaters)
,,,,Read T&Cs,9,Lisez les T&Cs,14,Termination,11,Terminer,8,"This service is brought to you by Lawyers for Human Rights, and LHR reserves the right to terminate the usage of this service if you or any user is deemed to be abusing it. ",173,Ce service vous est offert par lles Avocats du Droit de l'Home (LHR)and LHR se réserve le droit de stopper l' usage de ce service si vous ou tout autre utilisateur en abuse.,173,173,209,,
,,,,Permanent Residence,19,Résidence permanente,20,Online Application,18,Faire une demande en ligne,26,Complete a BI-947 online application for the correct visa type and book an appointment for your nearest VFS centre by visiting http://www.vfsglobal.com/dha/southafrica/index.html,178,Complétez un BI-947 en ligne pour le type de visa et prenez un rendez-vous au centre VFS proche de vous. Visitez://www.vfsglobal.com/dha/southafrica/index.html,159,178,214,,
,,,,Apply for visa,14,Faire une demande de visa,25,Online Application,18,Une demande en ligne,20,"You need to complete a DHA-1738 online application for the correct visa type and book an appointment for your nearest VFS centre by visiting http://www.vfsglobal.com/dha/southafrica/index.html

",194,"Completez a DHA-1738 demande en ligne pour le type de visa ,http://www.vfsglobal.com/dha/southafrica/index.html pour réserver un rendez-vous au centre VFS proche de vous.",170,194,230,1 SMS (<160 characters),"1 Screen (<180 characters) Too few characters, Back navigation won't show. "
,,,,LGBTI & VAWC,12,LGBTI & VAWC,12,LGBTI Help,10,L' assistance des personnes LGBTI,33,Contact Lawyers for Human Rights (LHR) or another legal organisation if your claim isn’t treated with sensitivity and respect. www.lhr.org.za; 011-339-1960 or 012-320-2943.,172,Contacez LHR ou autre organisation juridique si votre demande n' est pas traité respecté et sensitivit .Visitez: www.lhr.org.za;011-339-1960 ou 012-320-2943.,157,172,208,,
,,,,Temp visas,10,Les visas temporaires,21,Critical Skills,15,Connaissance essentielles,25,Critical skills: When your skills are needed in SA. These skills are usually specilaised skills. To see if you have one of the skills visit http://bit.ly/1JGvPoA and view page 12. ,180,Connaissances Critiques: Lorsque vos connaissances sont dans le besoin en RSA. Ce sont souvent des connaissances de spécialisation recherchées en RSA. Veuiller visite http://bit.ly/1JGvPoA pour voir si vous qualifiez; aussi voir la page12.,239,180,216,,
,,,,Temp visas,10,Les visas temporaires,21,Exchange,8,Echange,7,Exchange: When you are younger than 25 years of age and you would like to take part in an exchange programme between your country and South Africa. ,148,Echange: Si vous l' âgée de moins de 25 ans désirant faire partie Programme d' échange entre votre pays et l' Afrique du Sud. ,126,148,184,,
,,,,Education,9,Education,9,School,6,Ecole,5,"A creche is a preschool daycare centre for ages 1-6. Primary school: 7-13. Secondary school (academic or technical): 13-19. If you can't pay the fee, ask to work in exchange for a cheaper fee. Your child must have a visa and passport to be in SA. Children in SA must go to school – it’s the law. Tip: School age groups are flexible, so a child might be older than their classmates, but most government schools don't allow students to be 2yrs older than the grade’s age group.",475,"Maternelle: Education gardienne des enfants de 1 à 6 ans. Primaire: 7 à 13 ans.Sécondaire (academique ou technique): 13 à 19 ans.Si vous n'êtes pas a mesure de payer les frais scholaires, demandez de travailler à l' école pour payer moins. Votre enfant devra avoir un passepoert valide et un permis d'étude en RSA. La loi en RSA oblige les enfants à étudier. Conseil: Le groupe d' âge scolaire est fléxible, ainsi les enfant de de differnt ages peuvent etre dans une meme classe; mais la plus part des écoles publiques ne permettent pas la difference de 2 ans pour les enfants d'une meme classe.",595,475,511,,
,,,,Temp visas,10,Les visas temporaires,21,Corporate,9,Entreprise,10,Corporate: Groups of factory or farm workers can apply for corporate worker visas. You will need a copy of the main corporate visa application. ,144,Entreprise: Les ouvriers des usine et les fermiers peuvent faire leurs demandes de permis de travail. Vous devriez avoir la copie de la demande principale du visa d' entreprise.,177,144,180,,
,,,,Temp visas,10,Les visas temporaires,21,Study,5,Etude,5,"Study: If you are a student and want to study in South Africa. You will be allowed to work while you're studying, but certain rules will apply to you.",150,"Etude: Si vous désirez étudier en RSA.Vous serez permis de travailler pendant que vous étudiez, mais vous aurez à appliquer certains réglement. ",144,150,186,,
