English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,Answer,Character Count,Translation,Character Count,Chr Count for SMS,Chr for USSD Screens,,
,,,,,,,,,,,,Exit Screen,,shaashada kabixitanka ,,,,,
,,,,,,,,,,,,Your SMS will be sent to you shortly. Don't forget to dial back in to *120*8864*1538# to find all the information you need about applying for visas and living in SA.,0,"waxaa mardhaw laguu soo diridoonaa fariinta SMSka, fadlan xusuusnaws inaad markale booqato adeega *120*8864*1538# siaad uhesho macluumaad kusabsan xaraynta dalkugalka(kunoolaanshaha) ee k/afrika.",195,,,,
Step 1: Visa Application,24,darajada kowaad codsiga dalkugalka,34,Step 1: Visa Application,24,,0,,,,,,,,,,,,
,,,,Apply for visa,14,codsi dalkugal,14,General info,12,akhbaar guud,12,"There are 14 types of temporary residence visas. Know your type before you start the online application. See the 'Visa Types' section or visit http://www.vfsglobal.com/dha/southafrica/index.html for more info, or call VFS 012-425-3000.

",237,waa 14 nooc dalku galka ka ku meel gaadh ka ah iinta adan bilaabin codsiga fiiri ama arag noocyaha dalkugalka booqo www.vfglobal.com/dha/southafrica/index.html akhbaar ka sii badan wac012-425-3000,196,237,273,Key for Chr Count for SMSs,Key for Chr Count for USSD Screens (- character count calculation includes navigation which totals 36 characters max)
,,,,Apply for visa,14,codsi dalkugal,14,Online Application,18,codsiyada khadka intarneedka ,29,"You need to complete a DHA-1738 online application for the correct visa type and book an appointment for your nearest VFS centre by visiting http://www.vfsglobal.com/dha/southafrica/index.html

",194,waxaad u baahan tahay in aad  dhamaystirto waxda sharciyada-DHA-1738 SI TOOSA codsi sax naaca dalkugalka  qabso balan adega kugu dhaw ama xarunta dalkugalka e kugu dhaw booqo www.vfsglobal.com/dha/southafrica/index/.html,220,194,230,1 SMS (<160 characters),"1 Screen (<180 characters) Too few characters, Back navigation won't show. "
,,,,Apply for visa,14,codsi dalkugal,14,Where to apply,14,xageed ka codsatay,18,"After completing your online form you will need to apply at a VFS visa facilitation in Durban, Cape Town, Port Elizabeth, Johanneburg, Pretoria, Rustenburg, Kimberley, Polokwane, Nelspruit, George or Bloemfontein. 

",216,"kadib markaad dhamayso shuruudaha buuxitaanka foomka waxaad codsigaaga kaxaraysankartaa xarumaha FUDUDAYNTA DALKUGALKA ee Durba, Cape town, boorto elesebeet, joohanisbeeg,biritooriya, rastanbaag, kimbili, bolokwane, nelasbareed, joorji ama bloomfoontayn.",254,216,252,2 SMSs (161-319 charaters),2 Screens (181-360 charaters)
,,,,Apply for visa,14,codsi dalkugal,14,When to apply,13,goormaa lacodsadaa ,19,"Immediately, as you could be persecuted without a visa. Applications should be made at least 60 calendar days prior to expiry date of your passport and visa/permit.

",166,"si deg deg ah. adigoo xusuusan in lagu xidhikaro amaba maxkamad lagaa dacwankaro marhadii aadan haysan dalkugal(kujoog) waa inaad xaraysaa codsiga dalkugalkaaga kahor inta uusan kaadhicin 60cisho hadii aytahay dalkugal, degenaansho, amaba baasaaboor.",250,166,202,3 SMS (321 - 480 characters),3 Screens (361-540 characters)
,,,,Apply for visa,14,codsi dalkugal,14,Docs required,13,cadaymaha lagaarabo ,20,Appointment confirmation; visa fees receipt; valid passport/travel document; copy of passport; printout of completed online application form; and all supporting documents. ,172,balan xaqiijinta dalkugalka gunada qaabilaada waa in ad la tagto baasaboorka koobigiisa ood soo saarta isaga oo sidii sa ah dhamaystir si toosa codsigaaga,154,172,208,4+ SMS (481+ chr),4+ Screens (541+ chr)
,,,,Apply for visa,14,codsi dalkugal,14,Process time,12,habusocodka codsigaaga ,23,"Depending on the category of visa, the process time varies. Temporary residence permit applications have a minimum processing time of 8-10 weeks.

",147,waxay la xidhiidhaa heerka dalkugalka noocyada shaqo wa dhawr k meel gaadh galkugalka dagansho waa midka ugu wakhtiga badan waxayna qaadataa 8-10 isbuuc/todobaad,161,147,183,,
,,,,Apply for visa,14,codsi dalkugal,14,Paying fees,11,gunada aad bixisay,18,"Pay by EFT, credit/debit card at centre or prepayment at a Standard Bank branch. Account name: VFS VISA PROCESSING SA (PTY) LTD; Bank: STANDARD BANK; Branch Code: 011545; Account number: 002012731",196,waxaad ku bixinkartaa kaarka qaanta meelha xarumaha ah gunada lagaga baahan yahay sida bangiga istaandhar qaybta koodka01545 akown lanbarka waa 002012731,153,196,232,,
