,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,Answer,Character Count,Translation,Character Count,Chr Count for SMS,Chr for USSD Screens,,
,,,,,,,,,,,,Exit Screen,,,,,,,
,,,,,,,,,,,,Your SMS will be sent to you shortly. Don't forget to dial back in to *120*8864*1538# to find all the information you need about applying for visas and living in SA.,0,Utatumiwa SMS  baada ya muda  mufupi . Usisahau piga tena  * 120 * 8864 * 1538 # ukapate taarifa zote unahitaji kuhusu namna kuomba visa  na kuishi katika SA .,159,,,,
Step 1: Visa Application,24,Hatua ya 1:Maombi ya viza,25,Step1 : Visa application,24,Hatua ya 1.Maombi ya viza,25,,,,,,,,,,,,
,,,,Apply for visa,14,Omba viza,9,General info,,Maelezo ya  Jumla ,18,"There are 14 types of temporary residence visas. Know your type before you start the online application. See the 'Visa Types' section or visit http://www.vfsglobal.com/dha/southafrica/index.html for more info, or call VFS 012-425-3000.

",237,"Kuna aina 14 za visa za muda vinazoonyeshwa. Jua aina yako Kabla kuanza maombi kwenye mtandao. Tazama kwenye sehemu ' Aina Visa  ' au http://www.vfsglobal.com/dha/southafrica/index.html kwa maelezo zaidi , au piga 012-425-3000 VFS .",232,237,273,Key for Chr Count for SMSs,Key for Chr Count for USSD Screens (- character count calculation includes navigation which totals 36 characters max)
,,,,Apply for visa,14,Omba viza,9,Online Application,,Maombi ya Viza kieletorniki,27,"You need to complete a DHA-1738 online application for the correct visa type and book an appointment for your nearest VFS centre by visiting http://www.vfsglobal.com/dha/southafrica/index.html

",194," Unahitaji kujaza fomu ya DHA - 1738 kwa maombi online kwa ajili ya aina ya visa sahihi  na fanya  uteuzi  katika ofisi ya VFS  karibu yako   ukitembelea http://www.vfsglobal.com/dha/southafrica/index.html

",209,194,230,1 SMS (<160 characters),"1 Screen (<180 characters) Too few characters, Back navigation won't show. "
,,,,Apply for visa,14,Omba viza,9,Where to apply,14,Wapi kuomba,11,"After completing your online form you will need to apply at a VFS visa facilitation in Durban, Cape Town, Port Elizabeth, Johanneburg, Pretoria, Rustenburg, Kimberley, Polokwane, Nelspruit, George or Bloemfontein. 

",216," Baada ya kujaza fomu yako online unahitaji kuomba katika ofisi ya visa  ya VFS   katika Durban, Cape Town, Port Elizabeth, Johanneburg , Pretoria, Rustenburg, Kimberley, Polokwane, Nelspruit, George au Bloemfontein.",,216,252,2 SMSs (161-319 charaters),2 Screens (181-360 charaters)
,,,,Apply for visa,14,Omba viza,9,When to apply,13,Wakati wa kuomba,16,"Immediately, as you could be persecuted without a visa. Applications should be made at least 60 calendar days prior to expiry date of your passport and visa/permit.

",166,"Mara moja , sababu  unaweza kushitakiwa bila viza. Unapashwa kushughulikia maombi ya  kibali  chako  angalau siku 60 za kalenda kabla ya kumalizika tarehe ya pasipoti yako na viza/ kibali.",188,166,202,3 SMS (321 - 480 characters),3 Screens (361-540 characters)
,,,,Apply for visa,14,Omba viza,9,Docs required,13,Hati zinohitajiwa,17,Appointment confirmation; visa fees receipt; valid passport/travel document; copy of passport; printout of completed online application form; and all supporting documents. ,172," Thibitisho ya uteuzi ; ada  ya  viza ; pasipoti/ hati halali ya kusafiria  ; nakala ya pasipoti ; printout ya fomu  maombi ya  iliyojazwa online , na  nyaraka  zote zakukusaidia ",179,172,208,4+ SMS (481+ chr),4+ Screens (541+ chr)
,,,,Apply for visa,14,Omba visa,9,Process time,12,Muda wa  machakato,18,"Depending on the category of visa, the process time varies. Temporary residence permit applications have a minimum processing time of 8-10 weeks.

",147,"Kuna tofauti ya mchakato wa kutoa viza, Kutokana  na aina  ya visa.  Maombi ya kibali cha muda  huchukua  kiwango siyo chini ya wiki 8-10.",138,147,183,,
,,,,Apply for visa,14,Omba viza,9,Paying fees,11,Kulipa ada,10,"Pay by EFT, credit/debit card at centre or prepayment at a Standard Bank branch. Account name: VFS VISA PROCESSING SA (PTY) LTD; Bank: STANDARD BANK; Branch Code: 011545; Account number: 002012731",196,"Lipa na EFT , tumia kadi za mikopo / debit kwa malipo  ndani ya  ofisi  au katika tawi la  Standard Bank . Jina la akaunti : VFS VISA PROCESSING SA (PTY) LTD ; Benki : STANDARD BANK ; Tawi Kanuni : 011 545 ; Akaunti namba: 002012731

",236,196,232,,
