Step 1: Applying for Asylum,27,Etape 1:Faire une demande d' asile ,35,Applying for Asylum,19,"Demande d""asile",15,,,,,,,,,,,,,
,,,,When/where to apply,19,Quand/Où faire la demande,25,Apply at RRO,12,Faites la demande à RRO,23,12,"Apply immediately after you arrive by visiting a Refugee Reception Office (RRO). If an officer questions you before that, you must say you are going to apply.",158,"Faites la demande à la RRO dès que vous arrivez .Si un officier vous questionne avant cela, repondez- le que vous allez poser la demande d' asile. ",147,194,Key for Chr Count for SMSs,Key for Chr Count for USSD Screens (- character count calculation includes navigation which totals 36 characters max),Answer Navigation (36 characters)
,,,,When/where to apply,19,Quand/Où faire la demande,25,Durban,6,Durban,6,6,"Your nearest Refugee Reception Office (RRO) in Durban is situated at 132 Moore Street, Durban. Call them on 031-362-1205 or fax on 031-362-1220.
",145,"Votre  Bureau d'acceuil des réfugiés (RRO) à Durban est situé sur l' avenue Moore,  No 132, Durban.Numéro de Tél: 031-362-1205 / Fax: 031-362-1220.",147,181,1 SMS (<160 characters),"1 Screen (<180 characters) Too few characters, Back navigation won't show. ","1. Next
2. Back
3. Send to me by SMS"
,,,,When/where to apply,19,Quand/Où faire la demande,25,Musina,6,Musina,6,6,"Your nearest Refugee Reception Office (RRO) in Musina is situated at 8 Harold Street (next to the post office). Tel: 015-534-5300; Fax: 015-534-5332. 

",152,Votre bureau d'acceuil des réfugiés (RRO) à Musina est situé sur l' avenue Harold No 8  (à cote du bureau postal). Tél:015-534-5300; Fax: 015-534-5332.,151,188,2 SMSs (161-319 charaters),2 Screens (181-360 charaters),
,,,,When/where to apply,19,Quand/Où faire la demande,25,Pretoria ,9,Prétoria,8,9,"Your nearest Refugee Reception Office (RRO) in Pretoria West is in Marabastad, corner of E’skia Mphahlele & Struben St. Tel: 012-327-3515; Fax: 012-327-5782. ",158,"Votre bureau d'acceuil des réfugiés (RRO) à Pretoria - Ouest est à Marabastad, croisement entre les avenues E'skia Mphahlele & Struben.Tél: 012-327-3515; fax: 012-327-5782.  ",174,194,3 SMS (321 - 480 characters),3 Screens (361-540 characters),
,,,,When/where to apply,19,Quand/Où faire la demande,25,Pretoria West,13, Prétoria Ouest,15,13,"Your nearest Refugee Reception Office (TIRRO) in Pretoria West is at 203 Soutter St, Pretoria Showgrounds. Tel: 012-306-0800 or 012-306-0806; Fax: 086-579-7823.",160,"Votre Bureau d' acceuil des réfugiés (TIRRO) à Pretoria - Ouest  est sur l' avenue Soulter No 203, Showground Prétoria. Tél: 012-306-0800/012-306-0806; Fax: 086-579-7823.",170,196,4+ SMS (481+ chr),4+ Screens (541+ chr),
,,,,When/where to apply,19,Quand/Où faire la demande,25,Cape Town,9,Ville de Cape / Cape Town,25,9,"RRO Cape Town: 142 Voortrekker Road, Maitland. Tel: 021-514-8414 Fax: 021-514-8403. No new applications, only renewals of existing asylum seekers.",146,"RRO du Cape: Rue Voortrekker No 142, Maitland.Tél: 021-514-8414 Fax: 021-514-8403.Pas de nouvelles demandes, seulement le renouvellement des permis existants des refugiés.",171,182,,,
,,,,,,,,Back,4,Retournez,9,4,,,,,,,,
,,,,,,,,,,,,87,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,The Process,11,Le processus,12,Your Duties,11,Vos fonctions,13,11,"Asylum seekers and refugees are protected by SA’s Constitution when they obey the law and accept the asylum seekers' duties. It’s your duty to go to the RRO when you arrive in SA and truthfully explain why you want asylum. It’s your duty to obey the law. If you commit a crime in SA you will be prosecuted like any other South African. Peace is your right and duty. If you assist in armed attacks against your country, you may lose your refugee status and go to jail.",467,"La constitution de la RSA protège les refugies et les demandeurs d'asyle lorsqu'ils respectent la loi et acceptent les devoirs des demandeurs d'asyle. C'et votre devoir de vous présenter à la RRO quand vous arrivez en RSA et veritablement expliquer pourquoi vous voulez l'asyle. C'est votre devoir de respecter la loi; au case contraire, vous serez traduits en justice comme tout autre sud-africain. La paid est votre droit et devoir. Si vous participez aux attaques armees contre votre pays, vous pouvez perdre votre permis et etre pris en prison.",548,503,,,
