English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,English Content,Character Count,Translation,Character Count,Chr,English Content,Chr Count for SMS,Translation,Character Count,Chr Count for USSD Screens,,,
,,,,,,,,,,,,,Exit Screen,,,,,,,
Select an Option:,17,Kuchagua chaguo,15,Select an Option:,,Kuchagua chaguo,15,,,,,159,Your SMS will be sent to you shortly. Don't forget to dial back in to *120*8864*1538# to find all the info you need about applying for asylum and living in SA.,,Sms yako itatumwa sasa hii.Usisahau kupiga *120*8864*1538# na kupata maelezo unayohitaji kuhusu jinsi ya kuomba hifadhi  na kuishi SA,133,,,,
Step 1: Applying for Asylum,27,Hatua ya1:Kuomba Ukimbizi,25,Applying for Asylum,19,Kuomba Ukimbizi,15,,,,,,,,,,,,,
,, ,,When/where to apply,19,Wakati/wapi kuomba,18,Apply at RRO,12,Kuomba katika RRO,17,12,"Apply immediately after you arrive by visiting a Refugee Reception Office (RRO). If an officer questions you before that, you must say you are going to apply.",158,Omba mara moja ukifika Refugee Reception Office (RRO).Afisa akikuuliza kabla ya hii mwambie unaenda kuomba hifadhi ,115,194,Key for Chr Count for SMSs,Key for Chr Count for USSD Screens (- character count calculation includes navigation which totals 36 characters max),Answer Navigation (36 characters)
,,,,When/where to apply,19,wakati/wapi kuomba,18,Durban,6,Durban,6,6,"Your nearest Refugee Reception Office (RRO) in Durban is situated at 132 Moore Street, Durban. Call them on 031-362-1205 or fax on 031-362-1220.
",145,"Ofisi ya Kupokea wakimbizi (RRO) karibu yako katika Durban iko 132 Moore Street,Durban. Wapigie 031-362-1205.",109,181,1 SMS (<160 characters),"1 Screen (<180 characters) Too few characters, Back navigation won't show. ","1. Next
2. Back
3. Send to me by SMS"
,,,,When/where to apply,19,wakati/wapi kuomba,18,Musina,6,Musina,6,6,"Your nearest Refugee Reception Office (RRO) in Musina is situated at 8 Harold Street (next to the post office). Tel: 015-534-5300; Fax: 015-534-5332. 

",152,Ofisi ya Kupokea wakimbizi (RRO) karibu yako katika Musina  iko 132 Moore Street (karibu na Posta). Tel: 015-534-5300; Fax:015-534-5332.,136,188,2 SMSs (161-319 charaters),2 Screens (181-360 charaters),
,,,,When/where to apply,19,wakati/wapi kuomba,18,Pretoria ,9,Pretoria,8,9,"Your nearest Refugee Reception Office (RRO) in Pretoria West is in Marabastad, corner of E’skia Mphahlele & Struben St. Tel: 012-327-3515; Fax: 012-327-5782. ",158,"Ofisi ya Kupokea wakimbizi (RRO) karibu yako katika Pretoria iko Pretoria West Marabastad, corner ya E'skia Mphahlele&struben St. Tel: 012-306-0806; Fax: 086-579-7823.",167,194,3 SMS (321 - 480 characters),3 Screens (361-540 characters),
,,,,When/where to apply,19,wakati/wapi kuomba,18,Pretoria West,13,Pretoria West,13,13,"Your nearest Refugee Reception Office (TIRRO) in Pretoria West is at 203 Soutter St, Pretoria Showgrounds. Tel: 012-306-0800 or 012-306-0806; Fax: 086-579-7823.",160,"Ofisi ya Kupokea wakimbizi (TIRRO) karibu yako katika Pretoria west  iko kwenye Mtaa wa  Soutter 203 ,Pretoria Showgrounds. Tel :012-306-0800 au 012-306-0806; Fax: 086-579-7823.",177,196,4+ SMS (481+ chr),4+ Screens (541+ chr),
,,,,When/where to apply,19,wakati/wapi kuomba,18,Cape Town,9,Cape town,9,9,"RRO Cape Town: 142 Voortrekker Road, Maitland. Tel: 021-514-8414 Fax: 021-514-8403. No new applications, only renewals of existing asylum seekers.",146,"RRO Cape Town: 142 Voortrekker Road, Maitland. Tel: 021-514-8414 Fax: 021-514-8403. Hamna maombi mapya ya hifadhi, ila wanaogongesha  wana hifadhi za zamani tu.",160,182,,,
,,,,,,,,Back,4,Rudi,4,4,,,,,,,,
