lang,topic,question,"answer"
sw,wakati/wapi kuomba,Kuomba katika RRO,"Omba mara moja ukifika Refugee Reception Office (RRO).Afisa akikuuliza kabla ya hii mwambie unaenda kuomba hifadhi"
sw,wakati/wapi kuomba,Durban,"Ofisi ya Kupokea wakimbizi (RRO) karibu yako katika Durban iko 132 Moore Street,Durban. Wapigie 031-362-1205."
sw,wakati/wapi kuomba,Musina,"Ofisi ya Kupokea wakimbizi (RRO) karibu yako katika Musina iko 132 Moore Street (karibu na Posta). Tel: 015-534-5300; Fax:015-534-5332."
sw,wakati/wapi kuomba,Pretoria,"Ofisi ya Kupokea wakimbizi (RRO) karibu yako katika Pretoria iko Pretoria West Marabastad, corner ya E'skia Mphahlele&struben St. Tel: 012-306-0806; Fax: 086-579-7823."
sw,wakati/wapi kuomba,Pretoria West,"Ofisi ya Kupokea wakimbizi (TIRRO) karibu yako katika Pretoria west iko kwenye Mtaa wa Soutter 203 ,Pretoria Showgrounds. Tel :012-306-0800 au 012-306-0806; Fax: 086-579-7823."
sw,wakati/wapi kuomba,Cape town,"RRO Cape Town: 142 Voortrekker Road, Maitland. Tel: 021-514-8414 Fax: 021-514-8403. Hamna maombi mapya ya hifadhi, ila wanaogongesha wana hifadhi za zamani tu."
sw,Mchakato,Majukumu yako,"Wakimbizi wanalindwa na Katiba ya SA wakati wao hupashwa kuheshimia sheria na kukubali majukumu za wakimbizii . Ni jukumu yako kuenda RRO ukifika katika SA na kueleza kwa kweli kwa nini unataka hifadhi. Ni wajibu wako kutii sheria . Kama unafanya uhalifu katika SA utashitakiwa kama mwenyeji mwingine wa Afrika Kusini . Amani ni haki yako na wajibu. Kama ukisaidia katika mashambulizi ya kijeshi dhidi ya nchi yako , unaweza kupoteza hakii yako ya ukimbizi na kufungwa"
sw,Mchakato,Uhakika,"Jaza fomu ya uhakiki. Jibu kwa uaminifu. Utakuwa na mahojiano baadaye ni lazima ili utoe maelezo kutosha ya hadithi yako ya kweli . Leta nyaraka zote ambazo zinaonyesha wewe ni nani na unatoka wapi . Nakala zitafanywa ili ziweke kwa asili. Baada ya alama za vidole kuchukuliwa , utapewa kesi namba na faili idadi . Andika namba hizi muhimu ."
sw,Mchakato,Kuomba bure,"Usimlipe mtu - hata Maafisa wala walinzi. Mchakato ni bure. Kupambana na Rushwa . Shauri : Kama afisa wa DHA anakuomba Rushwa , tafuta jina lake, andika sifa za kimazingira, pamoja na tarehe na wakati wa tukio hilo. Mwanga: Hakuna haja ya kulipa ada . Piga simu bure ya DHA juu ya kuripoti rushwa kwenye namba 0800-601-190 . Wewe hutajitambua na majina yako."
sw,Mchakato,Kibali,"Utapata kifungo cha 22 (Kibali cha Wakimbizi) Ukiomba.Ni ushahidi.Wewe si mkimbizi.Kibali chako kinakuruhusu kusoma na kufanya kazi SA.Angalia hali ya kibali na ulize kama iko halali miezi 1 au 3.Fanya nakala ya kibali.Weka upya. Tip: Usipo fanya upya kibali cha kifungu 22 ,Unaweza fungwa/zuizini/faini."
